Year,Conflict and violence ,Natural disaster,Human trafficking
2021,1.259819878,0.866025404,1.443566884
2020,-0.769420194,0.866025404,-0.130016456
2019,-0.83706153,-0.866025404,-0.521677086
2018,0.346661846,-0.866025404,-0.791873343
