Year,Conflict and violence,Natural disaster,Human trafficking
2021,0.43965779,1.4568721,-1.193754
2020,0.43965779,-0.256764,0.1414033
2019,0.6155209,-0.386201,1.2337191
2018,-1.4948365,-0.813907,-0.181369
