Year,Conflict and violence,Natural disaster,Human trafficking
2021,0.4846411,-0.470081,-1.193754
2020,0.4846411,1.4926449,0.1414033
2019,0.5303693,-0.392503,1.2337191
2018,-1.499651,-0.63006,-0.181369
