Year,Conflict and violence,Natural disaster,Human trafficking
2021,1.40182605,-0.953224,-1.193754
2020,-0.2156655,1.2197165,0.1414033
2019,-0.970495,0.399739,1.2337191
2018,-0.2156655,-0.666232,-0.181369
